09:52:22 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has sold twp_fnm29 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 3100.
09:52:33 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has send a requested to sell twp_m16a3 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
09:52:33 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has sold twp_m16a3 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2400.
09:52:37 [Chat - Global]("Martina_(.)(.)_"(id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A=)): dobry den
09:52:39 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has send a requested to sell twp_type64 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
09:52:39 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has sold twp_type64 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1100.
09:52:44 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has send a requested to sell twp_stg44 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
09:52:44 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has sold twp_stg44 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 700.
09:52:49 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has send a requested to sell m4a1 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
09:52:49 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has sold m4a1 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1650.
09:53:16 [Market] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0=) has send a requested to sell mag_aug_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
09:53:16 [Market] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0=) has sold mag_aug_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 170.
09:53:18 [Market] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0=) has send a requested to sell mag_val_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
09:53:18 [Market] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0=) has sold mag_val_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 134.
09:53:27 [Market] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0=) has send a requested to sell ammobox_expansion_46x30_25rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
09:53:27 [Market] Player "cumtam" (id=ejSkxByu56JQJCjaqLBSPNXICtUOhtzWA8N8KOJ3ik0=) has sold ammobox_expansion_46x30_25rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 45.
