20:02:42 [AI Object Patrol] Generating an example config...
21:30:52 [VehicleCarKey] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw= pos=<4413.047852, 0.491907, 4183.230957>) used the  ExpansionCarKey to lock a ExpansionUtilityBoat
21:31:33 [VehicleCarKey] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw= pos=<4287.187988, 7.994606, 4181.510254>) used the  ExpansionCarKey to unlock a Truck_01_Covered
21:34:34 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell pp19 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:34:34 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold pp19 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 491.
21:34:36 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell aks74u x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:34:37 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold aks74u x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 873.
21:34:50 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell twp_ar60 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:34:50 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold twp_ar60 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2200.
21:34:53 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell twp_asval x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:34:53 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold twp_asval x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2100.
21:34:55 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell twp_m16 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
