00:02:43 [AI Object Patrol] Generating an example config...
00:10:17 [Expansion Quests] - SetupClientData - Created new persistent player quest data for player UID: qACnsDSyjJGN2BaHn0ttiO1kddrq9aRPDePwV8IMnWE=
00:12:14 [Party] Player "nic" (id=qACnsDSyjJGN2BaHn0ttiO1kddrq9aRPDePwV8IMnWE=) created a party named fff
00:14:37 [Killfeed] nic got killed by an Infected.
00:14:56 [Expansion Quests] - SetupClientData - Got cached player quest data for player with UID: qACnsDSyjJGN2BaHn0ttiO1kddrq9aRPDePwV8IMnWE=
00:15:26 [MissionAirdrop] An airdrop is heading towards "Weitmoos" (pos=<6222.000000, 0.000000, 9723.000000> type=Random_Weitmoos) with a ExpansionAirdropContainer
03:20:24 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold drybag_blue x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 30.
03:25:03 [ATM Locker] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has deposited 2747 on his ATM account.
03:26:38 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell twp_ak12_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:26:38 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold twp_ak12_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 180.
03:26:40 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell twp_ia2_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:26:41 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold twp_ia2_mag_30rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 180.
03:26:45 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell twp_sks_mag_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:26:45 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold twp_sks_mag_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 120.
03:27:06 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell twp_mac10_mag_32rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:27:06 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold twp_mac10_mag_32rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 225.
